Articles,Total Words,Frequency
Article1,22,0
Article2,8,0
Article3,25,0
Article4,27,0
Article5,20,0
Article6,18,0
Article7,24,0
Article8,28,0
Article9,3,0
Article10,13,0
Article11,19,0
Article12,20,0
Article13,16,0
Article14,23,0
Article15,3,0
Article16,15,0
Article17,16,0
Article18,23,0
Article19,19,0
Article20,21,0
Article21,11,0
Article22,21,0
Article23,14,0
Article24,23,0
Article25,26,0
Article26,19,0
Article27,18,0
Article28,20,0
Article29,23,0
Article30,8,0
Article31,11,0
Article32,19,0
Article33,19,0
Article34,23,0
Article35,22,0
Article36,21,0
Article37,20,0
Article38,27,0
Article39,27,0
Article40,24,0
Article41,26,0
Article42,15,0
Article43,8,0
Article44,8,0
Article45,6,0
Article46,15,0
Article47,23,0
Article48,15,0
Article49,18,0
Article50,8,0
Article51,11,0
Article52,19,0
Article53,22,0
Article54,21,0
Article55,16,0
Article56,3,0
Article57,20,0
Article58,22,0
Article59,8,0
Article60,8,0
Article61,8,0
Article62,25,0
Article63,21,0
Article64,21,0
Article65,24,0
Article66,24,0
Article67,8,0
Article68,19,0
Article69,3,0
Article70,19,0
Article71,21,0
Article72,12,0
Article73,24,0
Article74,20,0
Article75,24,0
Article76,20,0
Article77,15,0
Article78,21,0
Article79,20,0
Article80,8,0
Article81,18,0
Article82,18,0
Article83,6,0
Article84,23,0
Article85,8,0
Article86,12,0
Article87,12,0
Article88,8,0
Article89,12,0
Article90,21,0
Article91,19,0
Article92,21,0
Article93,22,0
Article94,11,0
Article95,22,0
Article96,16,0
Article97,25,0
Article98,22,0
Article99,23,0
Article100,21,0
Article101,22,0
Article102,8,0
Article103,25,0
Article104,27,0
Article105,20,0
Article106,18,0
Article107,24,0
Article108,3,0
Article109,13,0
Article110,19,0
Article111,20,0
Article112,16,0
Article113,23,0
Article114,3,0
Article115,15,0
Article116,16,0
Article117,23,0
Article118,19,0
Article119,21,0
Article120,11,0
Article121,21,0
Article122,14,0
Article123,23,0
Article124,26,0
Article125,19,0
Article126,18,0
Article127,20,0
Article128,23,0
Article129,8,0
Article130,11,0
Article131,19,0
Article132,19,0
Article133,23,0
Article134,22,0
Article135,21,0
Article136,20,0
Article137,27,0
Article138,27,0
Article139,24,0
Article140,26,0
Article141,15,0
Article142,8,0
Article143,8,0
Article144,6,0
Article145,15,0
Article146,23,0
Article147,15,0
Article148,18,0
Article149,8,0
Article150,11,0
Article151,19,0
Article152,22,0
Article153,21,0
Article154,16,0
Article155,3,0
Article156,20,0
Article157,22,0
Article158,8,0
Article159,8,0
Article160,8,0
Article161,25,0
Article162,21,0
Article163,21,0
Article164,24,0
Article165,24,0
Article166,8,0
Article167,19,0
Article168,3,0
Article169,19,0
Article170,21,0
Article171,12,0
Article172,24,0
Article173,20,0
Article174,24,0
Article175,20,0
Article176,15,0
Article177,21,0
Article178,20,0
Article179,8,0
Article180,18,0
Article181,18,0
Article182,6,0
Article183,23,0
Article184,8,0
Article185,12,0
Article186,12,0
Article187,8,0
Article188,12,0
Article189,21,0
Article190,19,0
Article191,21,0
Article192,22,0
Article193,11,0
Article194,22,0
Article195,16,0
Article196,25,0
Article197,22,0
Article198,23,0
Article199,21,0
Article200,21,0
Article201,22,0
Article202,8,0
Article203,25,0
Article204,27,0
Article205,20,0
Article206,18,0
Article207,24,0
Article208,3,0
Article209,13,0
Article210,19,0
Article211,20,0
Article212,16,0
Article213,23,0
Article214,3,0
Article215,15,0
Article216,16,0
Article217,23,0
Article218,19,0
Article219,21,0
Article220,11,0
Article221,21,0
Article222,14,0
Article223,23,0
Article224,26,0
Article225,19,0
Article226,18,0
Article227,20,0
Article228,23,0
Article229,8,0
Article230,11,0
Article231,19,0
Article232,19,0
Article233,23,0
Article234,22,0
Article235,21,0
Article236,20,0
Article237,27,0
Article238,27,0
Article239,24,0
Article240,26,0
Article241,15,0
Article242,8,0
Article243,8,0
Article244,6,0
Article245,15,0
Article246,23,0
Article247,15,0
Article248,18,0
Article249,8,0
Article250,11,0
Article251,19,0
Article252,22,0
Article253,21,0
Article254,16,0
Article255,3,0
Article256,20,0
Article257,22,0
Article258,8,0
Article259,8,0
Article260,8,0
Article261,25,0
Article262,21,0
Article263,21,0
Article264,24,0
Article265,24,0
Article266,8,0
Article267,19,0
Article268,3,0
Article269,19,0
Article270,21,0
Article271,12,0
Article272,24,0
Article273,20,0
Article274,24,0
Article275,20,0
Article276,15,0
Article277,21,0
Article278,20,0
Article279,8,0
Article280,18,0
Article281,18,0
Article282,6,0
Article283,23,0
Article284,8,0
Article285,12,0
Article286,12,0
Article287,8,0
Article288,12,0
Article289,21,0
Article290,19,0
Article291,21,0
Article292,22,0
Article293,11,0
Article294,22,0
Article295,16,0
Article296,25,0
Article297,22,0
Article298,23,0
Article299,21,0
Article300,21,0
Article301,8,0
Article302,26,0
Article303,8,0
Article304,19,0
Article305,10,0
Article306,23,0
Article307,21,0
Article308,17,0
Article309,18,0
Article310,18,0
Article311,23,0
Article312,20,0
Article313,10,0
Article314,21,0
Article315,15,0
Article316,23,0
Article317,20,0
Article318,19,0
Article319,22,0
Article320,21,0
Article321,15,0
Article322,20,0
Article323,26,0
Article324,12,0
Article325,21,0
Article326,16,0
Article327,11,0
Article328,26,0
Article329,21,0
Article330,19,0
Article331,25,0
Article332,25,0
Article333,25,0
Article334,8,0
Article335,21,0
Article336,20,0
Article337,24,0
Article338,17,0
Article339,22,0
Article340,24,0
Article341,18,0
Article342,20,0
Article343,3,0
Article344,23,0
Article345,24,0
Article346,18,0
Article347,3,0
Article348,14,0
Article349,24,0
Article350,13,0
Article351,25,0
Article352,18,0
Article353,0,0
Article354,24,0
Article355,20,0
Article356,19,0
Article357,20,0
Article358,20,0
Article359,28,0
Article360,12,0
Article361,16,0
Article362,24,0
Article363,19,0
Article364,24,0
Article365,25,0
Article366,13,0
Article367,20,0
Article368,21,0
Article369,19,0
Article370,9,0
Article371,20,0
Article372,19,0
Article373,6,0
Article374,12,0
Article375,18,0
Article376,19,0
Article377,23,0
Article378,26,0
Article379,19,0
Article380,15,0
Article381,19,0
Article382,16,0
Article383,22,0
Article384,14,0
Article385,22,0
Article386,27,0
Article387,23,0
Article388,4,0
Article389,22,0
Article390,17,0
Article391,8,0
Article392,20,0
Article393,4,0
Article394,12,0
Article395,15,0
Article396,3,0
Article397,26,0
Article398,22,0
Article399,2,0
Article400,16,0
Article401,8,0
Article402,26,0
Article403,8,0
Article404,19,0
Article405,10,0
Article406,23,0
Article407,21,0
Article408,17,0
Article409,18,0
Article410,18,0
Article411,23,0
Article412,20,0
Article413,10,0
Article414,21,0
Article415,15,0
Article416,23,0
Article417,20,0
Article418,19,0
Article419,22,0
Article420,21,0
Article421,15,0
Article422,20,0
Article423,26,0
Article424,12,0
Article425,21,0
Article426,16,0
Article427,11,0
Article428,26,0
Article429,21,0
Article430,19,0
Article431,25,0
Article432,25,0
Article433,25,0
Article434,8,0
Article435,21,0
Article436,20,0
Article437,24,0
Article438,17,0
Article439,22,0
Article440,24,0
Article441,18,0
Article442,20,0
Article443,3,0
Article444,23,0
Article445,24,0
Article446,18,0
Article447,3,0
Article448,14,0
Article449,24,0
Article450,13,0
Article451,25,0
Article452,18,0
Article453,0,0
Article454,24,0
Article455,20,0
Article456,19,0
Article457,20,0
Article458,20,0
Article459,28,0
Article460,12,0
Article461,16,0
Article462,24,0
Article463,19,0
Article464,24,0
Article465,25,0
Article466,13,0
Article467,20,0
Article468,21,0
Article469,19,0
Article470,9,0
Article471,20,0
Article472,19,0
Article473,6,0
Article474,12,0
Article475,18,0
Article476,19,0
Article477,23,0
Article478,26,0
Article479,19,0
Article480,15,0
Article481,19,0
Article482,16,0
Article483,22,0
Article484,14,0
Article485,22,0
Article486,27,0
Article487,23,0
Article488,4,0
Article489,22,0
Article490,17,0
Article491,8,0
Article492,20,0
Article493,4,0
Article494,12,0
Article495,15,0
Article496,3,0
Article497,26,0
Article498,22,0
Article499,2,0
Article500,16,0
Article501,20,0
Article502,21,0
Article503,8,0
Article504,18,0
Article505,25,0
Article506,21,0
Article507,20,0
Article508,3,0
Article509,25,0
Article510,10,0
Article511,17,0
Article512,12,0
Article513,21,0
Article514,18,0
Article515,22,0
Article516,19,0
Article517,23,0
Article518,22,0
Article519,20,0
Article520,17,0
Article521,19,0
Article522,20,0
Article523,22,0
Article524,22,0
Article525,18,0
Article526,18,0
Article527,19,0
Article528,21,0
Article529,8,0
Article530,24,0
Article531,17,0
Article532,18,0
Article533,25,0
Article534,13,0
Article535,18,0
Article536,19,0
Article537,19,0
Article538,17,0
Article539,24,0
Article540,18,0
Article541,20,0
Article542,18,0
Article543,23,0
Article544,3,0
Article545,11,0
Article546,22,0
Article547,25,0
Article548,19,0
Article549,14,0
Article550,21,0
Article551,28,0
Article552,22,0
Article553,22,0
Article554,7,0
Article555,8,0
Article556,22,0
Article557,27,0
Article558,9,0
Article559,21,0
Article560,12,0
Article561,20,0
Article562,26,0
Article563,18,0
Article564,19,0
Article565,13,0
Article566,19,0
Article567,21,0
Article568,16,0
Article569,18,0
Article570,23,0
Article571,9,0
Article572,23,0
Article573,18,0
Article574,20,0
Article575,14,0
Article576,20,0
Article577,21,0
Article578,13,0
Article579,20,0
Article580,22,0
Article581,14,0
Article582,24,0
Article583,17,0
Article584,21,0
Article585,17,0
Article586,14,0
Article587,22,0
Article588,21,0
Article589,28,0
Article590,11,0
Article591,9,0
Article592,17,0
Article593,17,0
Article594,22,0
Article595,17,0
Article596,21,0
Article597,21,0
Article598,20,0
Article599,21,0
Article600,18,0
Article601,20,0
Article602,21,0
Article603,8,0
Article604,18,0
Article605,25,0
Article606,21,0
Article607,20,0
Article608,3,0
Article609,25,0
Article610,10,0
Article611,17,0
Article612,12,0
Article613,21,0
Article614,18,0
Article615,22,0
Article616,19,0
Article617,23,0
Article618,22,0
Article619,20,0
Article620,17,0
Article621,19,0
Article622,20,0
Article623,22,0
Article624,22,0
Article625,18,0
Article626,18,0
Article627,19,0
Article628,21,0
Article629,8,0
Article630,24,0
Article631,17,0
Article632,18,0
Article633,25,0
Article634,13,0
Article635,18,0
Article636,19,0
Article637,19,0
Article638,17,0
Article639,24,0
Article640,18,0
Article641,20,0
Article642,18,0
Article643,23,0
Article644,3,0
Article645,11,0
Article646,22,0
Article647,25,0
Article648,19,0
Article649,14,0
Article650,21,0
Article651,28,0
Article652,22,0
Article653,22,0
Article654,7,0
Article655,8,0
Article656,22,0
Article657,27,0
Article658,9,0
Article659,21,0
Article660,12,0
Article661,20,0
Article662,26,0
Article663,18,0
Article664,19,0
Article665,13,0
Article666,19,0
Article667,21,0
Article668,16,0
Article669,18,0
Article670,23,0
Article671,9,0
Article672,23,0
Article673,18,0
Article674,20,0
Article675,14,0
Article676,20,0
Article677,21,0
Article678,13,0
Article679,20,0
Article680,22,0
Article681,14,0
Article682,24,0
Article683,17,0
Article684,21,0
Article685,17,0
Article686,14,0
Article687,22,0
Article688,21,0
Article689,28,0
Article690,11,0
Article691,9,0
Article692,17,0
Article693,17,0
Article694,22,0
Article695,17,0
Article696,21,0
Article697,21,0
Article698,20,0
Article699,21,0
Article700,18,0
Article701,20,0
Article702,21,0
Article703,8,0
Article704,18,0
Article705,25,0
Article706,21,0
Article707,20,0
Article708,3,0
Article709,25,0
Article710,10,0
Article711,17,0
Article712,12,0
Article713,21,0
Article714,18,0
Article715,22,0
Article716,19,0
Article717,23,0
Article718,22,0
Article719,20,0
Article720,17,0
Article721,19,0
Article722,20,0
Article723,22,0
Article724,22,0
Article725,18,0
Article726,18,0
Article727,19,0
Article728,21,0
Article729,8,0
