Tweet,Match,Polarity
"@hezzzz21 @grtcdnneckbeard @countdankulatv at least it's honest enough to say that covid is only worse than the flu in ""some people."" 😂🤡👍","['honest', 'enough', 'worse']",positive
rt @gmmtv: “นนน-กรภัทร์ เกิดพันธุ์” ได้เข้ารับการตรวจหาเชื้อ covid-19 ผลตรวจว่าพบเชื้อ covid-19#gmmtv ,[],neutral
"rt @trelkowsky2: grazie ai vaccini sono calati i morti di covid?no, grazie all'oms che dopo un anno ha deciso di ridurre i cicli di pcr",[],neutral
rt @ippatel: up के निवासी जो covid+ हैं वे up govt का up home isolation एप्प install करें।आपके जनपद के cmo office में बने कंट्रोल रूम से…,['isolation'],negative
"rt @sulsitodisimone: il rischio di trombosi è più alto con il covid che con il vaccino, dice l'università di oxford ",[],neutral
rt @odishanewstune: sail’s rourkela super specialty hospital to be used as covid care hospital   – odisha news tune ,['super'],positive
"rt @richar1979bc: hablando en serio.uso mucho menos las rrss desde que comenzó todo el tema del covid.no me hacia nada bien, pasar x tiem…",[],neutral
rt @aipral: a través del facebook de aipral es posible ver este miércoles 14 de abril a las 10hs utc-3 la emisión en español del ciclo de d…,[],neutral
rt @karyn_nishi: 学校運動会はcovid-19で「中止」だがオリンピックは開催ok。,[],neutral
coronavirus en brasil: ¿por qué tantos niños mueren en ese país por covid-19? ,[],neutral
rt @mippcivzla: #notimippci 📰🗞| ejecutivo nacional dota a hospitales de equipos médicos para atender pacientes covid-19. lea más ⏩ ,[],neutral
"@tsnmike @pittcabe yeah, that’s always the olive branch. just a bit concerning how long ago that was. i also acknow… ",[],neutral
rt @bcool333: how about that?👇some evangelical christians say covid vaccine is the mark of the beast.,[],neutral
rt @progintl: breaking: a shock poll by @dataprogress and @progintl finds that 60% of us voters want @potus to temporarily waive patent pro…,['shock'],negative
rt @invesdoctor: ちなみにあまり報道されていませんが、大阪府では小児用icuをつぶして成人covid-19の重症者を引き受けている施設があります。,[],neutral
"no space in hospitals, crematoriums in gujarat: horrific scenes from covid-19 crisis in state #kumbhcorona,… ","['horrific', 'crisis']",negative
rt @limping_chicken: new video aims to encourage covid vaccine take-up by deaf people from ethnic minorities ,"['encourage', 'deaf']",neutral
"rt @dammitdamini: 3 days completely off grid. first few things on my tl:• kumbh covid spike• people desperately seeking beds in icu, v…",['desperately'],negative
"currently, 10 nations that are home to less than half the world’s population have used three-quarters of covid-19 v… ",[],neutral
@nicknotfoundexp por los caso covid. sao paulo está hasta el pico. pero lo mejor es que bragarnik se esta bañando c… ,[],neutral
"rt @blogdonoblat: cpi da covid, já!leia resultado de enquete no blog",[],neutral
"rt @dhirendragbn: 24×7 twitter सेवा चलती रहेगी,जरूरतमंद  व्हाट्सएप 9458579800 पर संदेश प्रेषित कर सकते हैं।कई दिन से तबियत ठीक नहीं थी,टे…",[],neutral
