tweet,time,retweets,location
"RT @lisa_iannattone: How to explain that we, as a society, get more worked up over 86 severe vaccine reactions in Europe (out of 25 million…",2021-04-15 13:10:43,281,"Saskatchewan, Canada"
RT @PRGuy17: ATTN James Paterson: Anthony Albanese isn't the prime minister. The vaccine fuck up has nothing to do with him. Stop blaming h…,2021-04-15 13:10:43,82,Melbourne
RT @MilesParks: NEW: The most popular Facebook link shared about the J&amp;J pause was posted by a conspiracy theorist who thinks the pandemic…,2021-04-15 13:10:43,65,
"RT @BocktheRobber: The Russian embassy is offering to supply Ireland with Sputnik V.

Russia can't even supply Russia with vaccine.",2021-04-15 13:10:43,1,
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:10:43,58046,
RT @steveb4u: Has anyone else noticed there appears to be a concerted ramping up of pro-brexit propaganda over last few days? BBC giving mi…,2021-04-15 13:10:43,311,midlands
"RT @paimadhu: AIDS denial
Covid-19 denial
Vaccine denial
Mask denial
Climate change denial
Science denial

These are not accidents. They ar…",2021-04-15 13:10:43,36,
"@atulkasbekar ""VACCINE"", certainly",2021-04-15 13:10:42,0,"Pune, India"
"Don’t take painkillers before a shot to try to prevent symptoms, but if your doctor agrees, it’s OK to use them aft… https://t.co/eMlGM7YQZw",2021-04-15 13:10:42,0,"Seattle, WA"
RT @reallygraceful: I seriously can’t read anymore about children being used as guinea pigs for vaccine trials. It makes me feel sick to my…,2021-04-15 13:10:42,42,Coventry
RT @TomthunkitsMind: VACCINE CONSPIRACIES 05 https://t.co/vXW8e4YIsx,2021-04-15 13:10:42,2,
RT @rahmahghazali: Mak bapak aku yang dah tua umur cecah 80an takde apa2 berita nak vaksin dan terperap di rumah. Aku kat sini pula mungkin…,2021-04-15 13:10:42,80,"Johore, Malaysia"
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:10:42,58046,
"RT @DavidV5Goliath: ‘Overall, we must say that the results show that there is a real and serious side effect signal in the vaccine from Ast…",2021-04-15 13:10:42,171,
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:10:41,58046,nsfw
"Republicans wish they had a time machine so they could go back and fight the polio vaccine.

https://t.co/F2G1q1kYF2",2021-04-15 13:10:41,0,"Gizzard Ridge, AR"
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:10:41,58046,My own personal hell
"RT @DaveNestor22: (3/4)
#10: PEOPLE ARE CATCHING COVID AFTER BEING FULLY VACCINATED
#11: THE OVERALL DEATH RATE FROM COVID
#12: THE BLOATED…",2021-04-15 13:10:41,1,
RT @Abettervision: I can't recommend this professional April 11 interview too highly as a full education on the vaccine topic:  https://t.c…,2021-04-15 13:10:41,88,"Norfolk, England"
"RT @bryanbehar: In a poll out today, 43% of Republicans say they will not get a vaccine shot if they can avoid it.

Can someone please expl…",2021-04-15 13:10:41,1199,"Ohio, USA"
"RT @HealthyCollier: Getting a #COVID19 vaccine adds another layer of protection. 

To find a vaccination provider visit https://t.co/1AnJqJ…",2021-04-15 13:10:40,2,"St Petersburg, FL"
"RT @toadmeister: Today’s update on Lockdown Sceptics is here. Includes a summary of the best studies showing lockdowns don’t work, a look a…",2021-04-15 13:10:40,139,
"RT @AgentP22: The only reason Sturgeon is getting her vaccination today is because of the sterling work of the UK Govt.

If Scotland had be…",2021-04-15 13:10:40,98,United Kingdom
"RT @shOoObz: Lmaooo folks really got on here like ""I have never of a flu VACCINE. I've heard about a flu SHOT. Think about that, sheep!""

H…",2021-04-15 13:10:40,1470,"Raleigh, NC"
"#World: The certificates are still being developed, and how and whether they'll be used could vary widely around th… https://t.co/AOyxixkorh",2021-04-15 13:10:40,0,"Guwahati, India"
"RT @pelhamprog: The long-term unemployed face major obstacles to their industries, or with family or other COVID-related reasons, and it is…",2021-04-15 13:10:40,2,"Washington, DC"
RT @AlexBerenson: And this email shows why @US_FDA was ethically bound to make sure everyone knows the potential dangers. PEOPLE ARE AT RIS…,2021-04-15 13:10:39,374,
Trump supporters explode in rage at Ivanka after she encourages others to get vaccinated https://t.co/TPqFN0EawF,2021-04-15 13:10:39,0,"Reading, PA"
"RT @HenryMakow: https://t.co/CyyNsDyjnO

‘Young, healthy’ South Mississippi man suffers stroke hours after receiving J&amp;J vaccine",2021-04-15 13:10:39,16,"Lisburn, Northern Ireland"
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:10:39,58046,Lytham
"RT @wadabhubag: Pagkatapos ng AstraZenica covid19 vaccine, Johnson &amp; Jonhson naman. CDC &amp; FDA issued ""stop inoculation"" order due to vaccin…",2021-04-15 13:10:39,62,"Leyte, Eastern Visayas"
"VACCINE UPDATE:

Got my second dose at the @medicagoinc trial yesterday morning.

Feel fine today, but if the chill… https://t.co/BUrEUdCmvY",2021-04-15 13:10:39,0,Toronto
"RT @FaheemYounus: Myth: Good health/fitness is my COVID vaccine

Fact: No  Your fitness won’t produce neutralizing antibodies/T-cells again…",2021-04-15 13:10:38,820,"New York, USA"
"RT @MananDaniBJP: The @INCIndia is the one spreading rumors about the Indian vaccine protecting against corona.
#We_Support_CRPAATIL",2021-04-15 13:10:38,116,
"RT @Swamy39: Today Modi government has decided to import Johnson and Johnson vaccine, according to CNN News 18 three minutes ago. If true t…",2021-04-15 13:10:38,775,"New Delhi, India"
"RT @ZeeNews: केंद्र के फैसले पर जारी हुए दिशा निर्देश

#CoronaVaccine 

https://t.co/2J5pjjKiic",2021-04-15 13:10:38,6,"अयोध्या, भारत"
"RT @HealthyPinellas: J&amp;J vaccine remains on pause, but Pinellas sites offer Pfizer. County sites in St. Petersburg, Largo and Pinellas Park…",2021-04-15 13:10:38,5,"Tampa, FL"
If they puttin a pause on that vaccine then how and why is the public still getting it ?,2021-04-15 13:10:38,0,HARTFORD
"RT @Liz_Wheeler: THIS IS HOW YOU FIGHT THE CULTURE WAR.

60 restaurants, nightclubs, &amp; other hospitality entities in the UK defy the govt v…",2021-04-15 13:10:37,44,
"RT @annika1021: @tsouganatos READ by @_whitneywebb ⤵️ Οperαtiοn WαrppSpεεd #OWS 💉, began w #Trump
Neither Trump or #Biden RUN t🇺🇸

💬Trump a…",2021-04-15 13:10:37,2,
"RT @DaveNestor22: (1/4)
18 Reasons I Won't Be Getting a Covid Vaccine
https://t.co/ZOWv6HL47f 

#1: VACCINE MAKERS ARE IMMUNE FROM LIABILIT…",2021-04-15 13:10:37,1,
Just got my vaccine girls and gays 😌https://t.co/BrVoNTOh9a,2021-04-15 13:10:37,0,
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:10:36,58046,
RT @DrDooleyMD: @AlRSuarez2 @IndyyProg Fully vaccinated people are being hospitalized.  Fully vaccinated means &gt; 2 weeks after their final…,2021-04-15 13:10:36,1,
"RT @FaheemYounus: Myth: Good health/fitness is my COVID vaccine

Fact: No  Your fitness won’t produce neutralizing antibodies/T-cells again…",2021-04-15 13:10:36,820,
"RT @MJosling53: Quebec City opened an overnight COVID-19 vaccine clinic. When will Toronto do the same?
https://t.co/fifSSYvp8e",2021-04-15 13:10:36,22,"Winnipeg, Manitoba"
RT @CBSNews: Study shows similar incidence of rare blood clots with Pfizer and AstraZeneca COVID vaccines https://t.co/JN7JZibAMc,2021-04-15 13:10:36,116,"Los Angeles, CA"
"RT @CraigKellyMP: The sad coincidences continue with the death of a NSW woman from a blood clot days after getting a jab

But Aussie offici…",2021-04-15 13:10:36,63,"Sydney, Australia "
"RT @BBCNews: Vaccine passports could create 'two-tier society', equality watchdog warns
https://t.co/gzbJinfzcR",2021-04-15 13:10:36,96,"England, United Kingdom"
@sallyKP How come ppl in general are like ahhh we need proof tho but yet there’s actual evidence that the vaccine b… https://t.co/PtDRKgh3vm,2021-04-15 13:10:36,0,"Burlington, IA"
RT @AssusReamus: Should Tucker Carlson be fired &amp; Fox News fined for COVID vaccine misinformation?,2021-04-15 13:10:36,993,United States
@DonaldJTrumpJr Maybe we just get one vaccine card &amp; share it since nobody's gonna check our ID when doing those things🤯,2021-04-15 13:10:36,0,
Federal health authorities investigating death of woman who developed blood clots after COVID vaccine - ABC News https://t.co/x4k2vljg4I,2021-04-15 13:10:36,0,"Victoria, Australia."
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:10:36,58046,"New Jersey, USA"
@ShivaniGupta_5 @coolfunnytshirt Vaccine companies and ramped up vaccination significantly. If we had reached 30% b… https://t.co/XOe3g6CUi5,2021-04-15 13:10:35,0,Behind you watching you
@JulieRohrYEG @CMOH_Alberta Stay home. Get tested. Get your vaccine.,2021-04-15 13:10:35,0,
@Barking_Digits @ImJulianAssange Why? Because it’s the only way to return to normal. Your angry tweets have done no… https://t.co/EIiTgrjrfE,2021-04-15 13:10:35,0,Saskatoon SK
RT @realTuckFrumper: Trump launches bizarre attack over vaccine pause — as the right wing moves to weaponize doubt https://t.co/Dbz8pY45U9,2021-04-15 13:10:35,12,
"VIRUS                                  VACCINE 

@INCIndia https://t.co/VmwUbBg5ZF",2021-04-15 13:10:35,0,"Subtropics, आर्यावर्त "
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:10:35,58046,
"RT @YoshikiOfficial: Feel ok,I'll check with my doctors just in case
大丈夫だと思いますが,万が一に備えてお医者さんに診てもらいます😷

FYI,参考までに

米当局,J&amp;Jワクチン接種中断を勧告　血栓の報告受…",2021-04-15 13:10:35,710,Japan
"@andrew_lilico Agreed ... The vilification of AZ has been disgraceful

This from the NY Times is a perfect illustra… https://t.co/6u0L8chfLl",2021-04-15 13:10:35,0,
RT @zachheltzel: Imagine thinking getting COVID isn't a big deal but literally any possible effect of the vaccine is.,2021-04-15 13:10:35,1545,"Detroit, MI"
"RT @awong37: Pretty much how I feel right now in a picture. Still plugging away each day, trying to stay positive &amp; upbeat. Please, don't '…",2021-04-15 13:10:35,61,"Regina, Saskatchewan, Canada"
"il @NEJM mette a disposizione una raccolta di risorse sui vaccini Covid-19, comprese domande frequenti, formazione… https://t.co/BUuDmXKlGx",2021-04-15 13:10:34,0,via Massarenti 9- Bologna
@RepRosendale @henryrodgersdc We have @GovGianforte praising the the amount of Covid vaccinations and you bitching… https://t.co/8IPFVRZX0V,2021-04-15 13:10:34,0,
https://t.co/lOYaqV3Ksr,2021-04-15 13:10:34,0,
RT @NHSuk: You cannot catch coronavirus from the COVID-19 vaccine.,2021-04-15 13:10:34,13,UK
"@WorcesterTG recaps @chamberworc program, ""Should employers mandate #CovidVaccine?""  Hear what #employmentlaw Attor… https://t.co/Mq9tzk2Fj8",2021-04-15 13:10:34,0,"Massachusetts, USA"
"@sweethegemony Right - you have to make benefit-risk determinations. So in evaluating the J&amp;J vaccine, you have to… https://t.co/BPKvsAj8XQ",2021-04-15 13:10:34,0,"New Haven, CT"
"At 7:10, a doctor helping oversee the huge vaccine roll-out at #yyc's Telus convention centre gives us an update on… https://t.co/fMg1m7CiwV",2021-04-15 13:10:34,0,"Calgary, Alberta"
RT @Franktmcveety: 10 people have died from COVID-19 despite receiving vaccine shot in Manitoba.…,2021-04-15 13:10:34,211,
"ٱلْحَمْدُ لِلَّٰهِ

Got the second shot of Covid-19 vaccine. A special thank you to the amazing healthcare professi… https://t.co/p44Be6KWDF",2021-04-15 13:10:34,0,Male Maldives
"RT @LifeNewsHQ: Joe Biden stopped a vaccine because 6 people developed a blood clotting condition.

But he's promoting the abortion pill th…",2021-04-15 13:10:33,63,United States
"@neontaster Because of the mask mandate, you're starting from a low baseline. Since, Texas has been flirting up des… https://t.co/KVsQNYTaFj",2021-04-15 13:10:33,0,Space
"RT @BonginoReport: CNN Host Complains About Lack of “Vaccine Selfies” From Fox News Hosts to Smallest Audience of the Year
https://t.co/FLj…",2021-04-15 13:10:33,4,Las Vegas 
"RT @FaheemYounus: Myth: Good health/fitness is my COVID vaccine

Fact: No  Your fitness won’t produce neutralizing antibodies/T-cells again…",2021-04-15 13:10:32,820,Milky Way
First morning after my 2nd ⁦@pfizer⁩ shot. Having a lot more side effects from all these trees outside our workspac… https://t.co/r66EgPwGxf,2021-04-15 13:10:32,0,United States
